"id","ident","type","name","latitude_deg","longitude_deg","continent","iso_country","iso_region","gps_code","iata_code","local_code"
27301,BCW,medium_airport,Benguera Island Airport,-21.85330009460449,35.43830108642578,AF,MZ,MZ-I,,BCW,
111,BG-JAM,medium_airport,Bezmer Air Base,42.4548988342,26.352199554400002,EU,BG,BG-28,LBIA,JAM,
27300,BZB,medium_airport,Bazaruto Island Airport,-21.5411,35.4729,AF,MZ,MZ-I,,BZB,
44646,CY-0002,medium_airport,Lefkoniko Airport,35.235947,33.724358,AS,CY,CY-03,LCGK,GEC,
44646,CY-0002,medium_airport,Lefkoniko Airport,35.235947,33.724358,AS,CY,CY-03,LCGK,GEC,
2051,DAAJ,medium_airport,Djanet Inedbirene Airport,24.292801,9.45244,AF,DZ,DZ-33,DAAJ,DJG,
2054,DAAP,medium_airport,Illizi Takhamalt Airport,26.7234992981,8.62265014648,AF,DZ,DZ-33,DAAP,VVZ,
2060,DABB,medium_airport,Rabah Bitat Airport,36.822201,7.809174,AF,DZ,DZ-36,DABB,AAE,
2062,DABS,medium_airport,Cheikh Larbi Tébessi Airport,35.4315986633,8.120719909670001,AF,DZ,DZ-12,DABS,TEE,
2086,DAUZ,medium_airport,In Aménas Airport,28.0515,9.64291,AF,DZ,DZ-33,DAUZ,IAM,
2104,DNAA,large_airport,Nnamdi Azikiwe International Airport,9.006790161132812,7.263169765472412,AF,NG,NG-FC,DNAA,ABV,
309668,DNAI,large_airport,Akwa Ibom International Airport,4.8725,8.093,AF,NG,NG-AK,DNAI,QUO,
323056,DNBC,medium_airport,Sir Abubakar Tafawa Balewa International Airport,10.482833,9.744,AF,NG,NG-BA,DNBC,BCU,
2107,DNCA,medium_airport,Margaret Ekpo International Airport,4.976019859313965,8.347200393676758,AF,NG,NG-CR,DNCA,CBQ,
2108,DNEN,medium_airport,Akanu Ibiam International Airport,6.474269866943359,7.561960220336914,AF,NG,NG-EN,DNEN,ENU,
2112,DNIM,medium_airport,Sam Mbakwe International Airport,5.427060127258301,7.2060298919677725,AF,NG,NG-IM,DNIM,QOW,
2113,DNJO,medium_airport,Yakubu Gowon Airport,9.639829635620117,8.869050025939941,AF,NG,NG-PL,DNJO,JOS,
2114,DNKA,medium_airport,Kaduna Airport,10.696000099182127,7.320109844207764,AF,NG,NG-KD,DNKA,KAD,
2115,DNKN,large_airport,Mallam Aminu International Airport,12.0476,8.52462,AF,NG,NG-KN,DNKN,KAN,
2117,DNMK,medium_airport,Makurdi Airport,7.703880000000002,8.61394,AF,NG,NG-BE,DNMK,MDI,
2123,DNZA,medium_airport,Zaria Airport,11.1302,7.685810000000001,AF,NG,NG-KD,DNZA,ZAR,
2124,DRRM,medium_airport,Maradi Airport,13.5024995803833,7.1267499923706055,AF,NE,NE-4,DRRM,MFQ,
2127,DRZA,medium_airport,Mano Dayak International Airport,16.965999603271484,8.000109672546388,AF,NE,NE-1,DRZA,AJY,
2130,DRZR,medium_airport,Zinder Airport,13.779000282287598,8.983759880065918,AF,NE,NE-7,DRZR,ZND,
2131,DTKA,medium_airport,Tabarka 7 Novembre Airport,36.97999954223633,8.87693977355957,AF,TN,TN-32,DTKA,TBJ,
2133,DTTA,large_airport,Tunis Carthage International Airport,36.85100173950195,10.22719955444336,AF,TN,TN-11,DTTA,TUN,
2134,DTTB,medium_airport,Sidi Ahmed Air Base,37.245398,9.79145,AF,TN,TN-23,DTTB,,
2135,DTTD,medium_airport,Remada Air Base,32.306198120117195,10.382100105285645,AF,TN,TN-83,DTTD,,
2136,DTTF,medium_airport,Gafsa Ksar International Airport,34.42200088500977,8.822500228881836,AF,TN,TN-71,DTTF,GAF,
2137,DTTG,medium_airport,Gabès Matmata International Airport,33.87689971923828,10.103300094604492,AF,TN,TN-81,DTTG,GAE,
