"id","ident","type","name","latitude_deg","longitude_deg","continent","iso_country","iso_region","gps_code","iata_code","local_code"
332240,AF-0005,medium_airport,Khost International Airport (U.C.),33.284605,69.80734,AS,AF,AF-KHO,,,
3,AGGH,medium_airport,Honiara International Airport,-9.4280004501343,160.05499267578,OC,SB,SB-CT,AGGH,HIR,
4,AGGM,medium_airport,Munda Airport,-8.327969551086426,157.26300048828125,OC,SB,SB-WE,AGGM,MUA,
312371,AHJ,medium_airport,Hongyuan Airport,32.53154,102.35224000000001,AS,CN,CN-51,ZUHY,AHJ,
8,ANYN,medium_airport,Nauru International Airport,-0.547458,166.919006,OC,NR,NR-14,ANYN,INU,
327150,AU-0121,medium_airport,YKCY,-26.971196999999997,152.566855,OC,AU,AU-QLD,,,
314558,AXF,medium_airport,Alxa Left Banner Bayanhot Airport,38.74831,105.58858000000001,AS,CN,CN-15,ZBAL,AXF,
53,AYBK,medium_airport,Buka Airport,-5.422319889068604,154.67300415039062,OC,PG,PG-NSB,AYBK,BUA,
54,AYCH,medium_airport,Chimbu Airport,-6.024290084838867,144.9709930419922,OC,PG,PG-CPK,AYCH,CMU,
55,AYDU,medium_airport,Daru Airport,-9.086759567260001,143.207992554,OC,PG,PG-WPD,AYDU,DAU,
56,AYGA,medium_airport,Goroka Airport,-6.0816898345900015,145.391998291,OC,PG,PG-EHG,AYGA,GKA,
57,AYGN,medium_airport,Gurney Airport,-10.311499595599999,150.333999634,OC,PG,PG-MBA,AYGN,GUR,
58,AYGR,medium_airport,Girua Airport,-8.80453968048,148.309005737,OC,PG,PG-NPP,AYGR,PNP,
59,AYHK,medium_airport,Kimbe Airport,-5.462170124053955,150.40499877929688,OC,PG,PG-WBK,AYHK,HKN,
60,AYKM,medium_airport,Kerema Airport,-7.96361017227,145.770996094,OC,PG,PG-GPK,AYKM,KMA,
61,AYKV,medium_airport,Kavieng Airport,-2.57940006256,150.807998657,OC,PG,PG-NIK,AYKV,KVG,
62,AYMD,medium_airport,Madang Airport,-5.20707988739,145.789001465,OC,PG,PG-MPM,AYMD,MAG,
63,AYMH,medium_airport,Mount Hagen Kagamuga Airport,-5.826789855957031,144.29600524902344,OC,PG,PG-WHM,AYMH,HGU,
64,AYMN,medium_airport,Mendi Airport,-6.14774,143.656998,OC,PG,PG-SHM,AYMN,MDU,
65,AYMO,medium_airport,Momote Airport,-2.06189,147.423996,OC,PG,PG-MRL,AYMO,MAS,
66,AYNZ,medium_airport,Nadzab Airport,-6.569803,146.725977,OC,PG,PG-MPL,AYNZ,LAE,
67,AYPY,large_airport,Port Moresby Jacksons International Airport,-9.443380355834961,147.22000122070312,OC,PG,PG-NCD,AYPY,POM,
68,AYTK,medium_airport,Tokua Airport,-4.34045982361,152.380004883,OC,PG,PG-EBR,AYTK,RAB,
69,AYVN,medium_airport,Vanimo Airport,-2.6926,141.3028,OC,PG,PG-SAN,AYVN,VAI,
70,AYWD,medium_airport,Wapenamanda Airport,-5.64330005645752,143.89500427246094,OC,PG,PG-EPW,AYWD,WBM,
71,AYWK,medium_airport,Wewak International Airport,-3.5838301181800003,143.66900634799998,OC,PG,PG-ESW,AYWK,WWK,
44941,AZ-0001,medium_airport,Zabrat Airport,40.4955422161,49.9768066406,AS,AZ,AZ-BA,UBTT,ZXT,
44954,AZ-0013,medium_airport,Sital Chay Airport,40.8073129238,49.4314813614,AS,AZ,AZ-XIZ,,,
44962,AZ-0021,medium_airport,Kyzylagadzh Air Base,39.0061622679,48.8063120842,AS,AZ,AZ-MAS,,,
27301,BCW,medium_airport,Benguera Island Airport,-21.85330009460449,35.43830108642578,AF,MZ,MZ-I,,BCW,
111,BG-JAM,medium_airport,Bezmer Air Base,42.4548988342,26.352199554400002,EU,BG,BG-28,LBIA,JAM,
31697,BGAA,medium_airport,Aasiaat Airport,68.7218017578,-52.7846984863,,GL,GL-U-A,BGAA,JEG,
113,BGBW,medium_airport,Narsarsuaq Airport,61.1604995728,-45.4259986877,,GL,GL-U-A,BGBW,UAK,
114,BGGH,medium_airport,Godthaab / Nuuk Airport,64.19090271,-51.678100585900005,,GL,GL-U-A,BGGH,GOH,
115,BGSF,medium_airport,Kangerlussuaq Airport,67.0122218992,-50.7116031647,,GL,GL-U-A,BGSF,SFJ,
116,BGTL,medium_airport,Thule Air Base,76.5311965942,-68.70320129390001,,GL,GL-U-A,BGTL,THU,
117,BIAR,medium_airport,Akureyri Airport,65.66000366210939,-18.07270050048828,EU,IS,IS-6,BIAR,AEY,
119,BIEG,medium_airport,Egilsstaðir Airport,65.28330230712889,-14.401399612426758,EU,IS,IS-7,BIEG,EGS,
120,BIHN,medium_airport,Hornafjörður Airport,64.295601,-15.2272,EU,IS,IS-8,BIHN,HFN,
121,BIHU,medium_airport,Húsavík Airport,65.952301,-17.426001,EU,IS,IS-6,BIHU,HZK,
122,BIIS,medium_airport,Ísafjörður Airport,66.05809783935547,-23.13529968261719,EU,IS,IS-4,BIIS,IFJ,
123,BIKF,large_airport,Keflavik International Airport,63.985000610352,-22.605600357055998,EU,IS,IS-2,BIKF,KEF,
125,BIRK,medium_airport,Reykjavik Airport,64.1299972534,-21.9405994415,EU,IS,IS-1,BIRK,RKV,
126,BISI,medium_airport,Siglufjörður Airport,66.133301,-18.9167,EU,IS,IS-6,BISI,SIJ,
128,BIVM,medium_airport,Vestmannaeyjar Airport,63.42430114746094,-20.27890014648437,EU,IS,IS-8,BIVM,VEY,
4614,BKPR,large_airport,Priština International Airport,42.5728,21.035801,EU,XK,XK-01,BKPR,PRN,
333222,BR-0569,medium_airport,Glauber de Andrade Rocha Airport,-14.907885,-40.914804,SA,BR,BR-BA,SSVC,,BA0005
34946,BY-0001,medium_airport,Balbasovo Air Base,54.43999862670898,30.29669952392578,EU,BY,BY-VI,,,
34952,BY-0003,medium_airport,Bobrovichi Air Base,52.27830123901367,29.36000061035156,EU,BY,BY-HO,,,
44363,BY-0006,medium_airport,Osovtsy Air Base,52.556999206499995,24.8840007782,EU,BY,BY-BR,UMMO,,
